station_name,equipment_id,from,to,platform_id
Howard Beach,EL491X,Street,Mezzanine,
Howard Beach,EL490X,Street,Mezzanine,
Howard Beach,EL495X,Mezzanine,Platform,A-north
Howard Beach,EL494X,Mezzanine,Platform,A-north
Howard Beach,EL493X,Mezzanine,Platform,A-south
Howard Beach,EL492X,Mezzanine,Platform,A-far rockaway
World Trade Center,EL326,Street,Platform,E-north
World Trade Center,EL23X,Street,Platform,E-north
34 St - Penn,EL225,Street,Platform,C-north/E-north
34 St - Penn,EL226,IND Mezzanine,Platform,C-north/E-north
34 St - Penn,EL227,IND Mezzanine,Platform,A-north/A-south
34 St - Penn,EL228,IND Mezzanine,Platform,C-south/E-south
34 St - Penn,EL34X,Street,IRT Mezzanine,
34 St - Penn,EL216,IRT Mezzanine,Platform,1-south
34 St - Penn,EL215,IRT Mezzanine,Platform,2-north/2-south/3-north/3-south
34 St - Penn,EL214,IRT Mezzanine,Platform,1-north
34 St - Penn,,IRT Mezzanine,IND Mezzanine
Lexington Av / 63 St,EL401,Street,Mezzanine 401,
Lexington Av / 63 St,EL444,Street,Mezzanine 444,
Lexington Av / 63 St,EL402,Mezzanine 401,Platform,F-north/Q-north/F-south/Q-south
Lexington Av / 63 St,EL440,Mezzanine 444,Platform,F-north/Q-north/F-south/Q-south
Lexington Av / 63 St,EL441,Mezzanine 444,Platform,F-north/Q-north/F-south/Q-south
Lexington Av / 63 St,EL442,Mezzanine 444,Platform,F-north/Q-north/F-south/Q-south
Lexington Av / 63 St,EL443,Mezzanine 444,Platform,F-north/Q-north/F-south/Q-south
Kings Highway,EL761,Street,Platform,H-brigton beach/Q-coney island/B-brighton beach
Broadway-Lafayette/Bleecker St,EL328,Street,Mezzanine,
Broadway-Lafayette/Bleecker St,,Mezzanine,Platform,6-south
Broadway-Lafayette/Bleecker St,EL329,Mezzanine,Platform,B-north/D-north/F-north/M-north
Broadway-Lafayette/Bleecker St,EL331,Mezzanine,Platform,6-north
Broadway-Lafayette/Bleecker St,EL332,Mezzanine,Platform,6-north
Broadway-Lafayette/Bleecker St,EL330,Mezzanine,Platform,B-south/D-south/F-south/M-south
42 St - Port Authority Bus Terminal,EL288X,Street,Platform,A-south/C-south/E-south/A-north/C-north/E-north
42 St - Port Authority Bus Terminal,EL289X,Street,Platform,A-south/C-south/E-south/A-north/C-north/E-north
42 St - Port Authority Bus Terminal,EL291X,Street,Mezzanine,
42 St - Port Authority Bus Terminal,EL290X,Mezzanine,Platform,A-south/C-south/E-south/A-north/C-north/E-north
Times Sq - 42 St,EL231X,Street,Mezzanine,S-grandcentral
Times Sq - 42 St,EL232X,Mezzanine,Platform,7-east/7-west/1-south/2-south/3-south
Times Sq - 42 St,EL233,Mezzanine,Platform,1-north/2-north/3-north
Times Sq - 42 St,EL229,Mezzanine,Platform,N-south/Q-south/R-south/W-south
Times Sq - 42 St,EL230,Mezzanine,Platform,N-north/Q-north/R-north/W-north
West 4 St - Washington Sq,EL333,Street,Mezzanine,
West 4 St - Washington Sq,,Mezzanine,Platform,A-south/C-south/E-south/A-north/C-north/E-north
West 4 St - Washington Sq,EL334,Mezzanine,Lower Mezzanine,
West 4 St - Washington Sq,EL335,Lower Mezzanine,Platform,B-north/D-north/F-north/M-north
West 4 St - Washington Sq,EL334,Lower Mezzanine,Platform,B-south/D-south/F-south/M-south
59 St - Columbus Cir,EL276X,Street,Lower Mezzanine,
59 St - Columbus Cir,,Lower Mezzanine,Platform,1-south
59 St - Columbus Cir,EL277,Lower Mezzanine,Platform,A-south/B-south/C-south/D-south
59 St - Columbus Cir,EL280,Street,Mezzanine,
59 St - Columbus Cir,,Mezzanine,Platform,1-north
59 St - Columbus Cir,EL279,Mezzanine,Platform,A-north/B-north/C-north/D-north
59 St - Columbus Cir,EL278,Lower Mezzanine,Platform,A-north/B-north/C-north/D-north
WTC Cortlandt St,EL736,Street,Platform,1-south
WTC Cortlandt St,EL713,Mezzanine,Platform,1-south
WTC Cortlandt St,EL712,Mezzanine,Platform,1-north
WTC Cortlandt St,EL13X,Mezzanine,Path Mezzanine,
WTC Cortlandt St,EL12X,Mezzanine B,Path Mezzanine,
WTC Cortlandt St,EL12X,Mezzanine B,Mezzanine,
WTC Cortlandt St,EL11X,Mezzanine B,Path Mezzanine,
Cortlandt St,EL18X,Street,Mezzanine C1M,
Cortlandt St,EL727X,Mezzanine C1M,Platform,R-north/W-north
Cortlandt St,EL726X,Mezzanine C1M,Platform,R-south/W-south
Cortlandt St,EL14X,Street,Mezzanine C1,
Cortlandt St,EL22X,Street,Mezzanine C1,
Cortlandt St,EL16X,Mezzanine C1M,Mezzanine C1,
Cortlandt St,EL16X,Mezzanine C1,Mezzanine C2M,
Cortlandt St,EL16X,Mezzanine C2M,Mezzanine C2,
Cortlandt St,EL17X,Mezzanine C1M,Mezzanine C1,
Cortlandt St,EL17X,Mezzanine C1,Mezzanine C2M,
Cortlandt St,EL17X,Mezzanine C2M,Mezzanine C2,
Atlantic Av-Barclays Ctr,EL301,Street,Mezzanine A,2-south/3-south
Atlantic Av-Barclays Ctr,EL302,Mezzanine A,Platform,D-south/R-south/N-south
Atlantic Av-Barclays Ctr,EL303,Mezzanine A,Platform,D-north/R-north/N-north
Atlantic Av-Barclays Ctr,EL304,Mezzanine A,Mezzanine,
Atlantic Av-Barclays Ctr,EL307,Mezzanine,Platform,B-north/Q-north/B-south/Q-south
Atlantic Av-Barclays Ctr,EL305,Mezzanine,Platform,4-north/5-north/4-south/5-south
Atlantic Av-Barclays Ctr,EL306,Mezzanine,Platform,3-north/2-north
Atlantic Av-Barclays Ctr,EL300X,Street,Platform,3-north/2-north
Atlantic Av-Barclays Ctr,EL737X,Street,Platform,3-north/2-north
Dekalb Av,EL370,Street,Mezzanine,
Dekalb Av,EL372,Mezzanine,Platform,"B-brighton beach, coney island, bay ridge/R-brighton beach, coney island, bay ridge/Q-brighton beach, coney island, bay ridge"
Dekalb Av,EL371,Mezzanine,Platform,B-manhattan/R-manhattan/Q-manhattan
Bowling Green,EL710,Street,Upper Mezzanine,4-north/5-north
Bowling Green,EL711,Street,Lower Mezzanine,4-south/5-south
74 St - Broadway / Roosevelt Av,EL423,Mezzanine,Platform,7-south
74 St - Broadway / Roosevelt Av,EL420,Street,Mezzanine,
74 St - Broadway / Roosevelt Av,,Mezzanine,Platform,7-north
74 St - Broadway / Roosevelt Av,EL422,Lower Mezzanine,Platform,E-north/F-north/M-north/R-north
74 St - Broadway / Roosevelt Av,EL421,Lower Mezzanine,Platform,E-south/F-south/M-south/R-south
74 St - Broadway / Roosevelt Av,EL420,Street,Lower Mezzanine,
Fulton St,EL716,Concourse,Platform,4-south/5-south
Fulton St,EL717X,Street,Platform,5-north/4-north
Fulton St,EL717X,Street,Concourse
Fulton St,EL718X,Street,Platform,5-north/4-north
Fulton St,EL719,Nassau St Mezzanine,Platform,A-south/C-south/A-north/C-north
Fulton St,EL720,Unknown1,Unknown2,
Fulton St,EL721,Unknown3,Unknown4,
Fulton St,,Nassau St Mezzanine,Platform,J-south/Z-south
Fulton St,EL722,Street,Nassau St Mezzanine,
Fulton St,EL723,Street,William St Mezzanine,
Fulton St,EL728X,Street,Platform,5-north/4-north
Fulton St,EL728X,Street,Concourse,
Fulton St,EL729X,Concourse,Platform,4-south/5-south
Fulton St,EL732,William St Mezzanine,Platform,2-south/3-north/2-north/3-south
Fulton St,EL733X,Street,Upper retail,
62 St / New Utrecht,EL739,Street,Mezzanine,
62 St / New Utrecht,EL739,Street,Platform,N-south
50 St,EL207X,Street,Platform,C-south
50 St,EL208X,Connection,Platform,C-south
50 St,EL208X,Connection,Platform,E-south
Crown Hts - Utica Av,EL323,Mezzanine,Platform,3-north/3-south/4-north/4-south
Franklin Av,EL339,Street,Platform,C-euclid/S-euclid
Franklin Av,EL339,Street,Footbridge,
Franklin Av,EL340,Footbridge,Platform,C-manhattan
